,HSC,PreProB,ProB,PreB,immtransB,nB,GCB,memB,PC,CMP,Mon,nCD8
GTF2E1,564.666666666667,587.333333333333,715.333333333333,690,490.666666666667,611.666666666667,545.5,444.75,517,486.25,40,222.666666666667
CFDP1,1206,1449.33333333333,1543.33333333333,1081,879,1022.66666666667,801.75,625,316,1826.25,158.666666666667,298.333333333333
ZDHHC7,1441.33333333333,1013.66666666667,1290.33333333333,1104,1220,823.333333333333,1124.25,682.75,901.666666666667,1303.25,9217.66666666667,1560.33333333333
CIBAR2,0,1.66666666666667,7,10.6666666666667,1.66666666666667,9.33333333333333,0.5,0,20.3333333333333,0,0.666666666666667,0
SPMIP4,319,89,81.6666666666667,124.666666666667,188.666666666667,293.333333333333,187.5,382.25,135.333333333333,209,113.666666666667,259.333333333333
TMPRSS11D,5,1,0.333333333333333,2.33333333333333,0.666666666666667,2,0.75,1,15.3333333333333,3.25,2.66666666666667,0
JAZF1,49.6666666666667,29.6666666666667,60,202,408,1255.33333333333,695.75,1275.5,60,56.75,1074.33333333333,134
CMIP,2274.33333333333,65.6666666666667,73,102.333333333333,93.6666666666667,124,1268,1353.5,130.666666666667,1372.5,1464,1587
KCNJ16,39.3333333333333,8,29.3333333333333,43,8.33333333333333,0.666666666666667,21,0.25,0,4.25,1.33333333333333,0
PID1,0,0,0.666666666666667,0,1.33333333333333,0,55.75,0,3.33333333333333,9.75,1587,3
TRIP12,5796,1529.66666666667,1506.33333333333,1457,1232.33333333333,3870.66666666667,6613.25,3962.5,6708,2863.25,6281.33333333333,2041
FBXO36,110,105.333333333333,95.3333333333333,62,25.6666666666667,95,10.25,47.75,25.3333333333333,57,11.6666666666667,29.6666666666667
CEBPG,1476.33333333333,1699,1900,1893.66666666667,1494.33333333333,758,957,982.5,732.333333333333,1459,946.333333333333,902.333333333333
KCTD15,1564.66666666667,304,398.666666666667,302.333333333333,187,1.33333333333333,62,16,7,1271.25,385.333333333333,8.66666666666667
ZNF599,253.333333333333,201.666666666667,192.666666666667,150.333333333333,81,263,82.5,148.25,22.6666666666667,193.25,5,84.6666666666667
MCOLN2,92.6666666666667,5,0.333333333333333,49,397,233,2714.5,1040,61,168.75,44.6666666666667,120.333333333333
LGI4,12.3333333333333,6,6.66666666666667,1.33333333333333,0.666666666666667,1.33333333333333,2,6.25,3,6,7.33333333333333,87.6666666666667
DDAH1,546.333333333333,7.66666666666667,6.66666666666667,11,19.3333333333333,122.333333333333,62,245,34.6666666666667,254.25,4.66666666666667,0
SREK1,5692.33333333333,3600.33333333333,3750,3766,2829,2650,3765,3430.5,2419,3115.75,7687.66666666667,10595
CHD1,4240.33333333333,2409.33333333333,2929.33333333333,1780,1812,2729.66666666667,1213.5,2896.25,2324,2136.25,12903.3333333333,7052
ANKFN1,7.33333333333333,3.66666666666667,0,0.666666666666667,0,0,0.25,0,1.33333333333333,7.5,1,18
DGKE,1483.33333333333,246.666666666667,274.666666666667,188,182.666666666667,542,366.75,952.75,878,356.75,523.333333333333,1002.33333333333
HS2ST1,2126.33333333333,800,778,582.333333333333,287.333333333333,248.333333333333,2994.5,442.5,1360.33333333333,1120.25,315.333333333333,129.666666666667
MSI2,11807,1325.33333333333,1310,1324.33333333333,810.666666666667,909,4851.25,1399.5,2388,2474,785.333333333333,1904.33333333333
CACNA2D1,4.33333333333333,0,1.33333333333333,0,0,0,0,0,0,0.75,0,28.6666666666667
ZUP1,552,504.666666666667,602.666666666667,630.666666666667,592.666666666667,814,618.5,288.5,563.333333333333,400.5,210,330.333333333333
